epoch,acc,loss,val_acc,val_loss
0,0.8688888888888889,0.33206427733103433,0.49333333353201547,0.845734265645345
1,0.9111111111111111,0.23588539174033535,0.46000000019868215,2.250857842763265
2,0.9333333333333333,0.17605899158037372,0.8933333333333333,0.2003434642155965
3,0.9444444444444444,0.13668119539817175,0.7933333335320155,0.43663887739181517
4,0.9288888888888889,0.15818340809808837,0.9,0.23913648804028828
5,0.9622222222222222,0.10847661422358619,0.9733333333333334,0.12014618486166001
6,0.96,0.10515274352497525,0.766666667064031,0.43301048755645755
7,0.9733333333333334,0.09324567810528808,0.9599999992052713,0.15975175062815347
8,0.9822222222222222,0.06466943863365385,0.9733333333333334,0.09772182106971741
9,0.9911111111111112,0.034252315278475484,0.92,0.20510077655315398
10,0.9822222222222222,0.044581515391667687,0.9599999992052713,0.13518417835235597
11,0.9733333333333334,0.07623200717899535,0.6866666668653488,0.7256162977218628
12,0.9822222222222222,0.06039452425411178,0.9000000007947286,0.20656228144963582
13,0.9866666666666667,0.03994178309829699,0.7733333337306977,0.47134514808654787
14,0.98,0.05857564632159968,0.9333333325386047,0.13411965598662695
15,0.9755555555555555,0.057077955272462635,0.9599999992052713,0.11127677204708258
16,0.9844444444444445,0.03722725752356281,0.9799999992052714,0.08682549019654592
17,0.9911111111111112,0.030742186424839828,0.9799999992052714,0.06093965768814087
18,0.9888888888888889,0.03196502523703708,0.8866666674613952,0.2674677403767904
19,0.9844444444444445,0.05131686545176005,0.9600000007947286,0.11302852551142374
20,0.9977777777777778,0.018407225692127313,0.9799999992052714,0.06407674039403598
21,0.9822222222222222,0.03962734926285015,0.9866666666666667,0.045713698267936705
22,0.9911111111111112,0.03784016525993745,0.98,0.06492622951666514
23,0.9888888888888889,0.0334141579684284,0.7400000001986822,0.7576092489560445
24,0.9977777777777778,0.01827814817649293,0.9666666666666667,0.12055478632450103
25,0.9911111111111112,0.03216812131926417,0.9866666666666667,0.05247822021444638
26,0.9888888888888889,0.024181256867013872,0.9799999992052714,0.05306781157851219
27,0.9911111111111112,0.023845635344227453,0.953333334128062,0.12245390355587006
28,0.9933333333333333,0.03430717772907681,0.7333333333333333,0.650670059521993
29,0.9933333333333333,0.028337742348925936,0.98,0.037340298344691596
30,0.9888888888888889,0.03626326587154634,0.8666666674613953,0.27954296191533407
31,0.9466666666666667,0.1480611261063152,0.7266666668653489,0.6020141681035359
32,0.9733333333333334,0.04952253793702564,0.8933333337306977,0.2429584938287735
33,0.9777777777777777,0.056828513383063384,0.946666665871938,0.13539424439271291
34,0.9866666666666667,0.029318733693928355,0.9666666666666667,0.06929985707004865
35,0.9933333333333333,0.02296569345311986,0.96,0.08086023231347401
36,0.9955555555555555,0.011032221113435096,0.98,0.0653388480345408
37,0.9933333333333333,0.02524794872278613,0.98,0.05623682474096616
38,0.9977777777777778,0.007602717460386986,0.9533333333333334,0.11423446893692017
39,0.9911111111111112,0.037286218845595916,0.9733333333333334,0.0541918998832504
40,0.9711111111111111,0.07535960363224149,0.926666665871938,0.18832275832692782
41,0.9711111111111111,0.07962747788706717,0.9866666666666667,0.09607015202442805
42,0.9733333333333334,0.04968452328299059,0.9933333333333333,0.055568643112977344
43,0.9911111111111112,0.017738392225841785,0.9666666666666667,0.07934093197186788
44,1.0,0.0028244026340285525,0.98,0.04837314923604329
45,0.9977777777777778,0.002847191515288109,0.96,0.08059545497099559
46,1.0,0.0037419655728283233,0.9933333333333333,0.04739786456339061
47,0.9955555555555555,0.01637861403080428,0.9866666666666667,0.06377314378817876
48,0.9933333333333333,0.02640919433723967,0.9866666666666667,0.05498400634775559
49,0.9977777777777778,0.006996144548627651,0.9866666666666667,0.053179665418962636
